"No";"Judul";"URL";"Konten";"Ringkasan"
"1";"Energi terbarukan";"https://id.wikipedia.org/wiki/Energi_terbarukan";"Energi terbarukan adalah jenis energi yang berasal dari sumber daya alam yang dapat diperbarui atau dipulihkan secara alami dalam waktu yang singkat. Sumber energi ini dianggap lebih ramah lingkungan dibandingkan dengan energi fosil, karena menghasilkan gas rumah kaca. Contoh energi terbarukan seperti tenaga surya, tenaga angin, arus air, proses biologi, dan panas bumi. Energi ini lebih ramah lingkungan karena sedikit menghasilkan emisi karbon dibanding dengan energi berbahan bakar fosil. Untuk mengetahui lebih lanjut tentang penggunaan energi terbarukan di masyarakat modern, lihat pengembangan energi terbarukan. Untuk diskusi umum, lihat pengembangan energi masa depan. == Definisi 'terbarukan' == Konsep energi terbarukan mulai dikenal pada tahun 1970-an, sebagai upaya untuk mengimbangi pengembangan energi berbahan bakar nuklir dan fosil. Definisi paling umum adalah sumber energi yang dapat dengan cepat dipulihkan kembali secara alami, dan prosesnya berkelanjutan. Dengan definisi ini, maka bahan bakar nuklir dan fosil tidak termasuk di dalamnya. === Energi berkelanjutan === Dari definisinya, semua energi terbarukan sudah pasti juga merupakan energi berkelanjutan, karena senantiasa tersedia di alam dalam waktu yang relatif sangat panjang sehingga tidak perlu khawatir atau antisipasi akan kehabisan sumbernya. Para pengusung energi non-nuklir tidak memasukkan tenaga nuklir sebagai bagian energi berkelanjutan karena persediaan uranium-235 di alam ada batasnya, katakanlah ratusan tahun. Tetapi, para penggiat nuklir berargumentasi bahwa nuklir termasuk energi berkelanjutan jika digunakan sebagai bahan bakar di reaktor pembiak cepat (FBR: Fast Breeder Reactor) karena cadangan bahan bakar nuklir bisa 'beranak' ratusan hingga ribuan kali lipat. Alasannya begini, cadangan nuklir yang dibicarakan para pakar energi dalam ordo puluhan atau ratusan tahun itu secara implisit dihitung dengan asumsi reaktor yang digunakan adalah reaktor biasa (umumnya tipe BWR atau PWR), yang notabene hanya bisa membakar U-235. Di satu sisi kandungan U-235 di alam tak lebih dari 0,72% saja, sisanya kurang lebih 99,28% merupakan U-238. Uranium jenis U-238 ini dalam kondisi pembakaran 'biasa' (digunakan sebagai bahan bakar di reaktor biasa) tidak dapat menghasilkan energi nuklir, tetapi jika dicampur dengan U-235 dan dimasukan bersama-sama ke dalam reaktor pembiak, bersamaan dengan konsumsi/pembakaran U-235, U-238 mengalami reaksi penangkapan 1 neutron dan berubah wujud menjadi U-239. Dalam hitungan menit U-239 meluruh sambil mengeluarkan partikel beta dan kembali berubah wujud menjadi Np-239. Np-239 juga kembali meluruh sambil memancarkan partikel beta menjadi Pu-239. Pu-239 inilah, yang meski tidak tersedia di alam tetapi terbentuk sebagai hasil sampingan pembakaran U-235, memiliki kemampuan membelah diri dan menghasilkan energi sebagaimana U-235. Bisa dibayangkan jika semua U-238 yang jumlahnya ribuan kali lebih banyak daripada U-235, berhasil diubah menjadi Pu-239, berapa peningkatan terjadi jumlah bahan bakar nuklir. Hal yang serupa juga terjadi untuk atom [thorium-233] yang dengan reaksi penangkapan 1 neutron berubah wujud menjadi U-233 yang memiliki kemampuan reaksi berantai (reaksi nuklir). Itulah sebabnya mengapa negara-negara maju tertentu enggan meninggalkan nuklir meski risiko radioaktif yang diterimanya tidak ringan. Reaktor pembiak cepat seperti yang dimiliki oleh Korea Utara mendapat pengawasan ketat dari IAEA karena mampu memproduksi bahan bakar baru Pu-239 yang rentan disalahgunakan untuk senjata pemusnah massal. Di sisi lain para penentang nuklir cenderung menggunakan istilah 'energi berkelanjutan' sebagai sinonim dari 'energi terbarukan' untuk mengeluarkan energi nuklir dari pembahasan kelompok energi tersebut. == Sumber utama energi terbarukan == === Energi panas bumi === Energi panas bumi berasal dari peluruhan radioaktif di pusat Bumi, yang membuat Bumi panas dari dalam, serta dari panas matahari yang membuat panas permukaan bumi. Ada tiga cara pemanfaatan panas bumi: Sebagai tenaga pembangkit listrik dan digunakan dalam bentuk listrik Sebagai sumber panas yang dimanfaatkan secara langsung menggunakan pipa ke perut bumi Sebagai pompa panas yang dipompa langsung dari perut bumi Panas bumi adalah suatu bentuk energi panas atau energi termal yang dihasilkan dan disimpan di dalam bumi. Energi panas adalah energi yang menentukan temperatur suatu benda. Energi panas bumi berasal dari energi hasil pembentukan planet (20%) dan peluruhan radioaktif dari mineral (80%). Gradien panas bumi, yang didefinisikan dengan perbedaan temperatur antara inti bumi dan permukaannya, mengendalikan konduksi yang terus menerus terjadi dalam bentuk energi panas dari inti ke permukaan bumi. Temperatur inti bumi mencapai lebih dari 5000oC. Panas mengalir secara konduksi menuju bebatuan sekitar inti bumi. Panas ini menyebabkan bebatuan tersebut meleleh, membentuk magma. Magma mengalirkan panas secara konveksi dan bergerak naik karena magma yang berupa bebatuan cair memiliki massa jenis yang lebih rendah dari bebatuan padat. Magma memanaskan kerak bumi dan air yang mengalir di dalam kerak bumi, memanaskannya hingga mencapai 300oC. Air yang panas ini menimbulkan tekanan tinggi sehingga air keluar dari kerak bumi. Energi panas bumi dari inti bumi lebih dekat ke permukaan di beberapa daerah. Uap panas atau air bawah tanah dapat dimanfaatkan, dibawa ke permukaan, dan dapat digunakan untuk membangkitkan listrik. Sumber tenaga panas bumi berada di beberapa bagian yang tidak stabil secara geologis seperti Islandia, Selandia Baru, Amerika Serikat, Filipina, dan Italia. Dua wilayah yang paling menonjol selama ini di Amerika Serikat berada di kubah Yellowstone dan di utara California. Islandia menghasilkan tenaga panas bumi dan mengalirkan energi ke 66% dari semua rumah yang ada di Islandia pada tahun 2000, dalam bentuk energi panas secara langsung dan energi listrik melalui pembangkit listrik. 86% rumah yang ada di Islandia memanfaatkan panas bumi sebagai pemanas rumah. === Energi surya === Pemanfaatan energi surya atau biasa disebut dengan Pembangkit Listrik Tenaga Surya intinya memanfaatkan panas sinar matahari dan akan ditangkap oleh lapisan panel surya. Karena kebanyakan energi terbarukan berasal adalah 'energi surya' istilah ini sedikit membingungkan. Namun yang dimaksud di sini adalah energi yang dikumpulkan secara langsung dari cahaya matahari.energi surya adalah energi yang didapat dengan mengubah energi matahari melalui peralatan tertentu menjadi sumber daya dalam bentuk lain. Tenaga surya dapat digunakan untuk: Menghasilkan listrik menggunakan sel surya Menghasilkan listrik Menggunakan menara surya Memanaskan gedung melalui pompa panas Memanaskan makanan Menggunakan oven surya. Memanaskan air melalui alat pemanas air bertenaga surya Menerangi daerah terpencil yang sulit akses PLN Tentu saja matahari tidak memberikan energi yang konstan untuk setiap titik di bumi, sehingga penggunaannya terbatas. Sel surya sering digunakan untuk mengisi daya baterai, di siang hari dan daya dari baterai tersebut digunakan di malam hari ketika cahaya matahari tidak ada. === Tenaga Angin === Perbedaan temperatur di dua tempat yang berbeda menghasilkan tekanan udara yang berbeda, sehingga menghasilkan angin. Angin adalah gerakan materi (udara) dan telah diketahui sejak lama angin mampu menggerakkan turbin. Turbin angin dimanfaatkan untuk menghasilkan energi kinetik maupun energi listrik. Energi yang tersedia dari angin adalah fungsi dari kecepatan angin, ketika kecepatan angin meningkat, maka energi keluarannya juga meningkat hingga ke batas maksimum energi yang mampu dihasilkan turbin tersebut. Wilayah dengan angin yang lebih kuat dan konstan seperti lepas pantai dan dataran tinggi, biasanya diutamakan untuk dibangun 'ladang angin'. Tenaga angin bagus untuk dibangun di lokasi-lokasi berikut: Daerah Pesisir: Lokasi pesisir biasanya memiliki angin yang kuat dan konsisten. Daerah Pegunungan: Angin di daerah pegunungan biasanya lebih kencang dan stabil. Pulau-Pulau Terpencil: Pulau-pulau kecil yang tidak terjangkau oleh jaringan listrik utama dapat memanfaatkan energi angin untuk pembangkit listrik lokal. Padang Rumput atau Dataran Terbuka: Daerah dengan sedikit halangan seperti bangunan atau pohon tinggi. === Tenaga air === Energi air digunakan karena memiliki massa dan mampu mengalir. Air memiliki massa jenis 800 kali dibandingkan udara. Bahkan gerakan air yang lambat mampu diubah ke dalam bentuk energi lain. Turbin air didesain untuk mendapatkan energi dari berbagai jenis reservoir, yang diperhitungkan dari jumlah massa air, ketinggian, hingga kecepatan air sehingga turbin dapat memutar generator dan menghasilkan energi listrik yang lebih optimal. Energi air dimanfaatkan dalam bentuk: Bendungan pembangkit listrik. Yang terbesar adalah Three Gorges dam di China. Mikrohidro yang dibangun untuk membangkitkan listrik hingga skala 100 kilowatt. Umumnya dipakai di daerah terpencil yang memiliki banyak sumber air. Run-of-the-river yang dibangun dengan memanfaatkan energi kinetik dari aliran air tanpa membutuhkan reservoir air yang besar. === Biomassa === Tumbuhan biasanya menggunakan fotosintesis untuk menyimpan tenaga surya, udara, dan CO2. Bahan bakar bio (biofuel) adalah bahan bakar yang diperoleh dari biomassa - organisme atau produk dari metabolisme hewan, seperti kotoran dari sapi dan sebagainya. Ini juga merupakan salah satu sumber energi terbarukan. Biasanya biomass dibakar untuk melepas energi kimia yang tersimpan di dalamnya, pengecualian ketika biofuel digunakan untuk bahan bakar fuel cell (misal direct methanol fuel cell dan direct ethanol fuel cell). Biomassa dapat digunakan langsung sebagai bahan bakar boiler untuk mendidihkan air dan menghasilkan uap atau untuk memproduksi bahan bakar jenis lain seperti biodiesel, bioetanol, atau biogas tergantung sumbernya. Biomassa berbentuk biodiesel, bioetanol, dan biogas dapat dibakar dalam mesin pembakaran dalam atau pendidih secara langsung dengan kondisi tertentu. Biomassa menjadi sumber energi terbarukan jika laju pengambilan tidak melebihi laju produksinya, karena pada dasarnya biomassa merupakan bahan yang diproduksi oleh alam dalam waktu relatif singkat melalui berbagai proses biologis. Berbagai kasus penggunaan biomassa yang tidak terbarukan sudah terjadi, seperti kasus deforestasi zaman romawi, dan yang sekarang terjadi, deforestasi hutan amazon. Gambut juga sebenarnya biomassa yang pendefinisiannya sebagai energi terbarukan cukup bias karena laju ekstraksi oleh manusia tidak sebanding dengan laju pertumbuhan lapisan gambut. Ada tiga bentuk penggunaan biomassa, yaitu secara padat, cair, dan gas. Dan secara umum ada dua metode dalam memproduksi biomassa, yaitu dengan menumbuhkan organisme penghasil biomassa dan menggunakan bahan sisa hasil industri pengolahan makhluk hidup. ==== Bahan bakar bio cair ==== Bahan bakar bio cair biasanya berbentuk bioalkohol seperti metanol, etanol dan biodiesel. Biodiesel dapat digunakan pada kendaraan diesel modern dengan sedikit atau tanpa modifikasi dan dapat diperoleh dari limbah sayur dan minyak hewani serta lemak. Tergantung potensi setiap daerah, jagung, gula bit, tebu, dan beberapa jenis rumput dibudidayakan untuk menghasilkan bioetanol. Sedangkan biodiesel dihasilkan dari tanaman atau hasil tanaman yang mengandung minyak (kelapa sawit, kopra, biji jarak, alga) dan telah melalui berbagai proses seperti esterifikasi. ==== Biomassa padat ==== Penggunaan langsung biasanya dalam bentuk padatan yang mudah terbakar, baik kayu bakar atau tanaman yang mudah terbakar. Tanaman dapat dibudidayakan secara khusus untuk pembakaran atau dapat digunakan untuk keperluan lain, seperti diolah di industri tertentu dan limbah hasil pengolahan yang bisa dibakar dijadikan bahan bakar. Pembuatan briket biomassa juga menggunakan biomassa padat, di mana bahan bakunya bisa berupa potongan atau serpihan biomassa padat mentah atau yang telah melalui proses tertentu seperti pirolisis untuk meningkatkan persentase karbon dan mengurangi kadar airnya. Biomassa padat juga bisa diolah dengan cara gasifikasi untuk menghasilkan gas. ==== Biogas ==== Berbagai bahan organik, secara biologis dengan fermentasi, maupun secara fisiko-kimia dengan gasifikasi, dapat melepaskan gas yang mudah terbakar. Biogas dapat dengan mudah dihasilkan dari berbagai limbah dari industri yang ada saat ini, seperti produksi kertas, produksi gula, kotoran hewan peternakan, dan sebagainya. Berbagai aliran limbah harus diencerkan dengan air dan dibiarkan secara alami berfermentasi, menghasilkan gas metana. Residu dari aktivitas fermentasi ini adalah pupuk yang kaya nitrogen, karbon, dan mineral. == Sumber energi skala kecil == Piezoelektrik, merupakan muatan listrik yang dihasilkan dari pengaplikasian stress mekanik pada benda padat. Benda ini mengubah energi mekanik menjadi energi listrik. Jam otomatis (Automatic watch, self-winding watch) merupakan jam tangan yang digerakkan dengan energi mekanik yang tersimpan, yang didapatkan dari gerakan tangan penggunanya. Energi mekanik disimpan pada mekanisme pegas di dalamnya. Landasan elektrokinetik (electrokinetic road ramp) yaitu metode menghasilkan energi listrik dengan memanfaatkan energi kinetik dari mobil yang bergerak di atas landasan yang terpasang di jalan. Sebuah landasan sudah dipasang di lapangan parkir supermarket Sainsbury's di Gloucester, Britania Raya, di mana listrik yang dihasilkan digunakan untuk menggerakkan mesin kasir. Menangkap radiasi elektromagnetik yang tidak termanfaatkan dan mengubahnya menjadi energi listrik menggunakan rectifying antenna. Ini adalah salah satu metode memanen energi (energy harvesting). == Masalah == === Estetika, membahayakan habitat, dan pemanfaatan lahan === Beberapa orang tidak menyukai estetika turbin angin atau mengemukakan isu-isu konservasi alam ketika panel surya besar dipasang di pedesaan. Pihak yang mencoba memanfaatkan teknologi terbarukan ini harus melakukannya dengan cara yang disukai, misal memanfaatkan kolektor surya sebagai penghalang kebisingan sepanjang jalan, memadukannya sebagai peneduh matahari, memasangnya di atap yang sudah tersedia dan bahkan bisa menggantikan atap sepenuhnya, juga sel fotovoltaik amorf dapat digunakan untuk menggantikan jendela. Beberapa sistem ekstrasi energi terbarukan menghasilkan masalah lingkungan yang unik. Misalnya, turbin angin bisa berbahaya untuk burung yang terbang, sedangkan bendungan air pembangkit listrik dapat menciptakan penghalang bagi migrasi ikan - masalah serius di bagian barat laut pasifik yang telah mengurangi populasi ikan salmon. Pembakaran biomassa dan biofuel menyebabkan polusi udara yang sama dengan membakar bahan bakar fosil, meskipun karbon yang dilepaskan ke atmosfer ini dapat diserap kembali jika organisme penghasil biomassa tersebut secara terus menerus dibudidayakan. Masalah lain dengan banyak energi terbarukan, khususnya biomassa dan biofuel, adalah sejumlah besar lahan yang dibutuhkan untuk usaha pembudidayaannya. === Konsentrasi === Masalah lain adalah variabilitas dan persebaran energi terbarukan di alam, kecuali energi panas bumi yang umumnya terkonsentrasi pada satu wilayah tertentu namun terdapat pada lokasi yang ekstrem. Energi angin adalah yang tersulit untuk difokuskan, sehingga membutuhkan turbin yang besar untuk menangkap energi angin sebanyak-banyaknya. Metode pemanfaatan energi air bergantung pada lokasi dan karakteristik sumber air sehingga desain turbin air bisa berbeda. Pemanfaatan energi matahari dapat dilakukan dengan berbagai cara, namun untuk mendapatkan energi yang banyak membutuhkan luas area penangkapan yang besar. Sebagai perbandingan, pada kondisi standar pengujian di Amerika Serikat energi yang diterima 1 m2 sel surya yang memiliki efisiensi 20% akan menghasilkan 200 watt. Kondisi standar pengujian yang dimaksud adalah temperatur udara 20 oC dan irradiansi 1000 W/m2. === Jarak ke penerima energi listrik === Keragaman geografis juga menjadi masalah signifikan, karena beberapa sumber energi terbarukan seperti panas bumi, air, dan angin bisa berada di lokasi yang jauh dari penerima energi listrik, panas bumi di pegunungan, energi air di hulu sungai, dan energi angin di lepas pantai atau dataran tinggi. Pemanfaatan sumber daya tersebut dalam skala besar kemungkinan akan memerlukan investasi cukup besar dalam jaringan transmisi dan distribusi serta teknologi itu sendiri dalam menghadapi lingkungan terkait. === Ketersediaan === Salah satu kekurangan yang cukup signifikan adalah ketersediaan energi terbarukan di alam, beberapa dari mereka hanya ada sesekali dan tidak setiap saat (intermittent). Misal cahaya matahari yang hanya tersedia ketika siang hari, energi angin yang kekuatannya bervariasi setiap saat, energi air yang tak bisa dimanfaatkan ketika sungai kering, biomassa memiliki masalah yang sama dengan yang dihadapi dunia pertanian (misal iklim, hama), dan lain-lain. Sedangkan energi panas bumi bisa tersedia sepanjang waktu. == Riwayat penggunaan energi terbarukan == Sepanjang sejarah, berbagai macam energi terbarukan telah digunakan. Kayu adalah bahan bakar biomassa paling tua dalam sejarah manusia, yang digunakan sebagai sumber energi panas lewat pembakaran, bahkan hingga kini masih digunakan. Kayu bakar digunakan saat memasak dan menghangatkan ruangan sehingga manusia dapat bertahan di cuaca dingin. Jenis kayu tertentu digunakan khusus untuk mengawetkan makanan melalui pengeringan atau pengasapan sehingga makanan tidak cepat basi atau rusak. Kemudian ditemukan bahwa pembakaran parsial dalam kondisi miskin oksigen (pirolisis) untuk menghasilkan arang, yang dapat memberikan panas lebih banyak dalam massa yang relatif lebih sedikit dibandingkan kayu kering. Namun, energi ini kurang efisien karena membutuhkan bahan baku kayu/pohon dalam jumlah besar untuk membuat arang. Tenaga Hewan untuk menarik gerobak/kereta dan alat-alat mekanik tradisional. Hewan seperti kuda, sapi atau kerbau sejak dulu telah dimanfaatkan sebagai tenaga transportasi dan penggerak pabrik. Hingga kini, di berbagai belahan dunia masih banyak penggunaan hewan untuk tujuan ini. Tenaga air akhirnya menggantikan kekuatan hewan untuk pabrik dengan mengubah energi air (kinetik maupun gravitasi) menjadi energi kinetik rotasi. Hingga saat ini, tenaga air menyediakan energi listrik terbarukan di seluruh dunia lebih banyak dari sumber energi terbarukan lainnya. Lemak hewani, terutama minyak ikan paus sudah lama dibakar sebagai minyak untuk lampu. Energi angin telah digunakan selama beberapa ratus tahun. Pada awalnya digunakan pada kincir angin berukuran besar bagaikan layar dengan empat hingga enam lengan, seperti yang terlihat di Belanda. Saat ini, desain kincir angin lebih banyak menyerupai pisau dengan jumlah lengan hanya tiga pada umumnya, seperti yang terlihat di ladang angin di pegunungan maupun lepas pantai. Saat ini, tenaga angin merupakan sumber energi dengan pertumbuhan tercepat di dunia. Tenaga surya sebagai sumber energi dalam sejarah manusia, lebih banyak ditangkap secara arsitektural sebagai penerangan dalam bangunan, dan pengeringan bahan pertanian. Dan pada abad ke-20, matahari telah ditangkap secara mekanis memanfaatkan pergerakan fluida hingga konversi ke energi listrik secara langsung. == Lihat pula == Energi berkelanjutan Pengembangan energi terbarukan Penghargaan Ashden untuk Energi terbarukan Energi Net gain. Kendaraan listrik. Sepeda motor listrik Perahu listrik. Mobil hijau. Energi Soft path. Uni Eropa untuk Program Perubahan Iklim Katalog Whole Earth. Proses Fischer-Tropsch Asal petroleum abiogenik Penghapusan tenaga nuklir == Referensi == (Inggris)Administrasi Informasi Energi Amerika Diarsipkan 2010-11-11 di Wayback Machine. menyediakan berbagai statistik dan informasi tentang industri. Boyle, G. (ed.),Renewable Energy: Power untuk Masa Depan yang Berkelanjutan. Open University, Inggris, 1996. (Inggris)Situs web Efisiensi Energi dan Energi Terbarukan Amerika == Pranala luar == (Inggris)Teknologi bergantian emisi gas rumah kaca ke udara bersih biofuel (Inggris)International Energy Foundation (Inggris)National Renewable Energy Laboratory (Amerika) (Inggris)Encyclopedia of Energy (Inggris)Newsletter energi alternatif untuk riset professionals (Inggris)Genome News Network (GNN) Energi Berita Kumpulan artikel tentang bagaimana kemajuan dalam genomika mengarah pada kemajuan dalam produksi energi. (Inggris)Centre for Alternative Energy (European) (Inggris)Carbon Activism for Beginners Diarsipkan 2009-01-13 di Wayback Machine.. (Inggris)Renewable Energy Media Analysis - Web Monitor Pemilu Amerika 2004 (Inggris)EU Intelligent Energy (Inggris)Intermediate Technology Development Group (Inggris)The Hydrogen Expedition Diarsipkan 2017-06-27 di Wayback Machine. rekor dunia energi terbarukan (Inggris)Debat Gas Abiogenic Pada kemungkinan abiogenic sebagai asal bahan bakar fosil (Inggris)Green Wiki Koleksi artikel tentang energi terbarukan dan topik lainnya yang berkaitan dengan hidup yang berkelanjutan (Inggris)The Source for Renewable Energy Sebuah direktori untuk lebih dari 9.000 perusahaan energi terbarukan di seluruh dunia (Inggris)Majalah seputar finansial (Inggris)Organisasi minyak dunia memboikot akar rumput (asal ethanol) Diarsipkan 2005-03-18 di Wayback Machine. (Inggris)Macam-macam energi terbarukan (Inggris)Keuntungan Finansial Energi Terbarukan";"Energi terbarukan adalah jenis energi yang berasal dari sumber daya alam yang dapat diperbarui atau dipulihkan secara alami dalam waktu yang singkat. Sumber energi ini dianggap lebih ramah lingkungan dibandingkan dengan energi fosil, karena menghasilkan gas rumah kaca. Contoh energi terbarukan seperti tenaga surya, tenaga angin, arus air, proses biologi, dan panas bumi. Energi ini lebih ramah lingkungan karena sedikit menghasilkan emisi karbon dibanding dengan energi berbahan bakar fosil. Untuk mengetahui lebih lanjut tentang penggunaan energi terbarukan di masyarakat modern, lihat pengembangan energi terbarukan. Untuk diskusi umum, lihat pengembangan energi masa depan."
"2";"Energi tak terbarukan";"https://id.wikipedia.org/wiki/Energi_tak_terbarukan";"Energi tak terbarukan adalah energi yang diperoleh dari sumber daya alam yang waktu pembentukannya sampai jutaan tahun. Energi ini dikatakan tak terbarukan karena, apabila sumber daya tersebut sudah digunakan, akan memerlukan waktu yang sangat lama untuk menggantikannya. Hal ini karena, disamping memerlukan waktu yang sangat lama untuk terbentuk, proses pembentukan sumber daya ini pun sangat bergantung pada lingkungan sekitar serta keadaan geologi saat itu. Contoh dari Energi tak terbarukan yang sangat dikenal, yaitu bahan bakar fosil seperti batu bara, gas alam, dan minyak bumi. Batu bara sendiri terbentuk dari proses pengendapan serta perubahan kayu-kayu besar yang tertimbun didalam rawa-rawa. Proses ini memakan waktu jutaan tahun dan memerlukan kondisi lingkungan yang spesifik, yaitu pengendapan dan penimbunan kayu-kayu pepohonan dalam suatu kawasan rawa-rawa. Sedangkan, minyak bumi atau minyak mentah merupakan senyawa hidrokarbon yang berasal dari sisa-sisa kehidupan purbakala (fosil), baik berupa hewan, maupun tumbuhan. Umumnya, sisa-sisa fosil hewan dan tumbuhan tersebut akan berubah menjadi senyawa minyak setelah terkubur di perut bumi selama jutaan tahun. Oleh karena itu, kita dapat menyimpulkan bahwa energi tidak terbarukan memerlukan waktu yang sangat lama untuk ber-regenerasi. Dewasa ini di berbagai negara di belahan dunia termasuk Indonesia, aktivitas pencarian energi alternatif untuk menggantikan energi tak terbarukan tengah digalakkan, biasanya dengan melakukan penelitian khusus mengenai kandungan senyawa kimiawi terhadap spesies tumbuhan tertentu, dilanjutkan dengan berbagai proses percobaan, agar energi yang dihasilkan setara dengan atau paling tidak, mendekati besarnya energi yang diperoleh dari sumber energi tak terbarukan itu. == Disiplin ilmu yang berhubungan == Teknik Geologi Teknik Pertambangan Teknik Perminyakan Teknik Kimia Ilmu Fisika Teknik Fisika";"Energi tak terbarukan adalah energi yang diperoleh dari sumber daya alam yang waktu pembentukannya sampai jutaan tahun. Energi ini dikatakan tak terbarukan karena, apabila sumber daya tersebut sudah digunakan, akan memerlukan waktu yang sangat lama untuk menggantikannya. Hal ini karena, disamping memerlukan waktu yang sangat lama untuk terbentuk, proses pembentukan sumber daya ini pun sangat bergantung pada lingkungan sekitar serta keadaan geologi saat itu. Contoh dari Energi tak terbarukan yang sangat dikenal, yaitu bahan bakar fosil seperti batu bara, gas alam, dan minyak bumi. Batu bara sendiri terbentuk dari proses pengendapan serta perubahan kayu-kayu besar yang tertimbun didalam rawa-rawa. Proses ini memakan waktu jutaan tahun dan memerlukan kondisi lingkungan yang spesifik, yaitu pengendapan dan penimbunan kayu-kayu pepohonan dalam suatu kawasan rawa-rawa. Sedangkan, minyak bumi atau minyak mentah merupakan senyawa hidrokarbon yang berasal dari sisa-sisa kehidupan purbakala (fosil), baik berupa hewan, maupun tumbuhan. Umumnya, sisa-sisa fosil hewan dan tumbuhan tersebut akan berubah menjadi senyawa minyak setelah terkubur di perut bumi selama jutaan tahun. Oleh karena itu, kita dapat menyimpulkan bahwa energi tidak terbarukan memerlukan waktu yang sangat lama untuk ber-regenerasi. Dewasa ini di berbagai negara di belahan dunia termasuk Indonesia, aktivitas pencarian energi alternatif untuk menggantikan energi tak terbarukan tengah digalakkan, biasanya dengan melakukan penelitian khusus mengenai kandungan senyawa kimiawi terhadap spesies tumbuhan tertentu, dilanjutkan dengan berbagai proses percobaan, agar energi yang dihasilkan setara dengan atau paling tidak, mendekati besarnya energi yang diperoleh dari sumber energi tak terbarukan itu."
